client_id,round,accuracy,loss,frozen_layers,is_frozen,wall_time_sec,trainable_params,phase
0,12,0.7692,0.6948,2,1,37.59,156549,no_cv
GLOBAL,12,0.8171,0.5490,,,,,no_cv
3,13,0.7376,0.8338,0,0,1.56,159333,no_cv
2,13,0.7782,0.6214,0,0,10.42,159333,no_cv
1,13,0.7474,0.7981,0,0,26.09,159333,no_cv
0,13,0.7906,0.6866,0,0,40.25,159333,no_cv
GLOBAL,13,0.7994,0.6195,,,,,no_cv
3,14,0.7384,0.8972,2,1,1.59,156549,no_cv
2,14,0.7860,0.6130,2,1,10.17,156549,no_cv
1,14,0.7717,0.7621,2,1,24.56,156549,no_cv
0,14,0.7622,0.7278,2,1,38.21,156549,no_cv
GLOBAL,14,0.8060,0.6047,,,,,no_cv
3,15,0.7696,0.8104,2,1,1.49,156549,no_cv
2,15,0.7869,0.6048,2,1,11.01,156549,no_cv
1,15,0.7441,0.7955,2,1,25.68,156549,no_cv
0,15,0.7634,0.6928,2,1,39.80,156549,no_cv
GLOBAL,15,0.8042,0.5760,,,,,no_cv
